p,d,q,mse,rmse,mae,aic
0,0,1,0.245451137852231,0.4954302552854751,0.3478258814747857,1936.0296439000222
1,0,0,0.24545161812644897,0.49543073998940457,0.34782667061828754,1936.0328657552775
0,0,0,0.24545504607658913,0.4954341995427739,0.3478333247834848,1934.0616423850931
1,0,1,0.24547043843409558,0.49544973350895605,0.3478654946150915,1937.1115881352405
0,0,2,0.24547659587383408,0.495455947460351,0.3478850334532924,1935.8441950239376
2,0,0,0.24547701248686174,0.49545636789414843,0.3478844079069959,1935.8317741934113
0,0,3,0.2454785553660317,0.49545792491999935,0.34788707559226195,1937.8431024067963
1,0,4,0.2454791316576854,0.4954585064944242,0.34788750867246976,1941.8428752293798
1,0,2,0.2454797275803955,0.4954591078791422,0.34788828380392356,1937.843901493738
0,0,4,0.24547978489750447,0.49545916572156024,0.3478871076304935,1939.837077187185
1,0,3,0.24548093348468172,0.49546032483406954,0.34789112207067024,1939.8276067045745
2,0,1,0.245481882676339,0.4954612827218076,0.3478895645301433,1937.8266307659567
3,0,1,0.24548212171067016,0.49546152394577536,0.3478897532515053,1939.8256714077916
3,0,0,0.24548259739426553,0.4954620039864465,0.34789014641189037,1937.8256102487298
4,0,1,0.2454842864572146,0.495463708516794,0.34788966795024795,1941.8123726204753
4,0,0,0.24548470854192736,0.49546413446578286,0.3478900403822192,1939.8126508812145
